Q,G,R_init,R_ann,ScFl_init,ScFl_ann,ΔScFl
10,50,10,5,14.521,9.257,5.264
10,100,9,7,12.808,12.280,0.529
10,200,10,10,14.601,14.525,0.076
10,300,10,10,15.525,15.425,0.099
15,75,15,8,18.248,15.122,3.126
15,150,15,14,18.460,17.757,0.703
15,250,15,15,20.295,20.295,0.000
15,350,15,15,21.248,21.228,0.020
20,100,17,12,20.087,16.620,3.468
20,200,19,19,22.954,22.954,0.000
20,300,20,20,24.775,24.775,0.000
20,400,20,20,26.338,26.338,0.000
25,125,22,12,25.558,21.079,4.480
25,250,25,25,29.276,29.276,0.000
25,350,25,25,30.738,30.737,0.001
25,450,25,25,31.273,31.273,0.000
