Q,G,Fl_auto,Fl_hq,Fl_greedy,Fl_rw
10,50,6.80e+01,6.60e+01,7.00e+01,7.80e+01
10,100,7.60e+01,7.60e+01,8.00e+01,7.20e+01
10,200,2.63e+03,1.54e+03,6.42e+03,9.38e+02
10,300,3.92e+07,3.12e+05,3.41e+08,3.91e+04
15,75,6.40e+01,6.40e+01,6.80e+01,5.40e+01
15,150,1.31e+03,9.04e+02,1.51e+03,7.26e+02
15,250,5.91e+05,3.82e+05,7.69e+05,4.59e+04
15,350,2.90e+07,2.25e+06,5.82e+08,8.24e+05
20,100,5.00e+01,5.00e+01,5.20e+01,9.00e+01
20,200,3.01e+03,1.53e+03,2.74e+03,1.10e+03
20,300,3.21e+09,6.48e+08,1.59e+11,2.44e+06
20,400,4.36e+12,3.81e+11,8.06e+13,4.75e+07
25,125,1.20e+01,1.20e+01,1.20e+01,2.20e+01
25,250,2.08e+04,6.34e+03,1.14e+04,3.35e+03
25,350,3.68e+08,6.10e+08,5.25e+10,3.92e+06
25,450,1.81e+14,8.97e+12,3.23e+14,1.58e+08
