Circuit,Q,G,R_init,R_ann,ScFl_init,ScFl_ann,ΔScFl
Adder8,23,105,22,22,27.432,27.432,0.000
QFT8,8,148,8,8,13.738,13.738,0.000
barenco_tof_3.qasm,5,20,5,5,9.077,7.833,1.244
barenco_tof_4.qasm,7,34,7,7,11.355,11.285,0.070
barenco_tof_5.qasm,9,50,9,9,13.752,13.000,0.752
csla_mux_3_original,15,50,12,12,17.698,17.698,0.000
csum_mux_9_corrected,30,56,29,29,33.250,33.250,0.000
gf2^4_mult,12,51,12,12,18.342,18.342,0.000
ham15-low.qc,17,167,17,17,24.358,24.358,0.000
hwb6.qc,7,79,7,7,14.176,14.176,0.000
mod_mult_55,9,35,9,9,15.203,15.203,0.000
mod_red_21,11,74,11,11,17.722,17.722,0.000
qcla_com_7,24,95,24,24,30.174,30.169,0.005
qft_4.qasm,5,159,5,5,11.811,11.811,0.000
rc_adder_6,14,68,14,14,19.871,19.871,0.000
tof_10,19,51,19,19,24.778,24.774,0.003
tof_3,5,9,5,4,9.209,7.755,1.455
tof_4,7,15,7,6,11.980,10.488,1.492
tof_5,9,21,9,8,14.076,12.181,1.895
vbe_adder_3,10,30,10,8,14.015,12.224,1.791
