Circuit,Q,G,Fl_auto,Fl_hq,Fl_greedy,Fl_rw
Adder8,23,105,9.32e+03,3.35e+03,8.80e+03,5.60e+08
QFT8,8,148,2.45e+03,1.98e+03,1.46e+04,4.18e+04
barenco_tof_3.qasm,5,20,2.14e+03,6.38e+02,9.68e+02,5.58e+02
barenco_tof_4.qasm,7,34,1.56e+03,3.11e+03,4.75e+03,3.59e+03
barenco_tof_5.qasm,9,50,5.76e+03,2.51e+03,7.72e+03,1.53e+04
csla_mux_3_original,15,50,1.46e+06,1.29e+04,9.86e+05,6.73e+05
csum_mux_9_corrected,30,56,5.67e+06,6.75e+03,3.24e+04,3.33e+10
gf2^4_mult,12,51,2.98e+08,3.74e+06,4.06e+16,1.01e+06
ham15-low.qc,17,167,8.99e+14,2.13e+10,6.43e+23,6.50e+07
hwb6.qc,7,79,1.20e+07,2.97e+06,2.27e+09,5.60e+04
mod_mult_55,9,35,1.53e+06,3.75e+04,4.61e+06,2.15e+05
mod_red_21,11,74,3.17e+08,1.44e+07,5.45e+07,6.57e+05
qcla_com_7,24,95,8.07e+04,7.31e+03,1.02e+05,3.70e+09
qft_4.qasm,5,159,1.93e+05,1.17e+04,1.46e+05,1.57e+04
rc_adder_6,14,68,1.15e+07,4.98e+03,2.14e+04,2.92e+06
tof_10,19,51,8.61e+04,4.51e+03,6.80e+03,8.85e+07
tof_3,5,9,6.82e+02,4.50e+02,6.64e+02,4.78e+02
tof_4,7,15,1.01e+03,9.42e+02,1.49e+03,1.67e+03
tof_5,9,21,2.65e+03,1.08e+03,1.72e+03,1.33e+04
vbe_adder_3,10,30,1.38e+04,1.92e+03,3.16e+03,1.43e+03
