Circuit,Q,G,Fl_auto,Fl_hq,Fl_greedy,Fl_rw
Adder8,23,105,0.00e+00,0.00e+00,0.00e+00,5.60e+08
QFT8,8,148,8.36e+02,7.00e+02,7.68e+02,4.18e+04
barenco_tof_3.qasm,5,20,0.00e+00,0.00e+00,0.00e+00,5.58e+02
barenco_tof_4.qasm,7,34,2.04e+02,2.40e+02,2.40e+02,3.59e+03
barenco_tof_5.qasm,9,50,6.16e+02,6.64e+02,7.44e+02,1.53e+04
csla_mux_3_original,15,50,0.00e+00,0.00e+00,0.00e+00,6.73e+05
csum_mux_9_corrected,30,56,0.00e+00,0.00e+00,0.00e+00,3.33e+10
gf2^4_mult,12,51,6.48e+03,3.28e+03,8.05e+03,1.01e+06
ham15-low.qc,17,167,3.03e+08,2.19e+07,3.57e+08,6.50e+07
hwb6.qc,7,79,3.19e+03,3.08e+03,4.62e+03,5.60e+04
mod_mult_55,9,35,3.32e+02,3.32e+02,3.60e+02,2.15e+05
mod_red_21,11,74,1.46e+03,1.42e+03,1.50e+03,6.57e+05
qcla_com_7,24,95,0.00e+00,0.00e+00,0.00e+00,3.70e+09
qft_4.qasm,5,159,9.84e+02,9.80e+02,9.80e+02,1.57e+04
rc_adder_6,14,68,1.40e+03,1.08e+03,1.08e+03,2.92e+06
tof_10,19,51,0.00e+00,0.00e+00,0.00e+00,8.85e+07
tof_3,5,9,0.00e+00,0.00e+00,0.00e+00,4.78e+02
tof_4,7,15,0.00e+00,0.00e+00,0.00e+00,1.67e+03
tof_5,9,21,0.00e+00,0.00e+00,0.00e+00,1.33e+04
vbe_adder_3,10,30,2.48e+02,2.46e+02,2.52e+02,1.43e+03
